Alpha 3 code ,Common English Name,Official Country Name
AFG,Afghanistan,Islamic Republic of Afghanistan
ALB,Albania,Republic of Albania
DZA,Algeria,People's Democratic Republic of Algeria
AND,Andorra,Principality of Andorra
AGO,Angola,Republic of Angola
ATG,Antigua and Barbuda,Antigua and Barbuda
ARG,Argentina,Argentine Republic
ARM,Armenia,Republic of Armenia
AUS,Australia,Commonwealth of Australia
AUT,Austria,Republic of Austria
AZE,Azerbaijan,Republic of Azerbaijan
BHR,Bahrain,Kingdom of Bahrain
BGD,Bangladesh,People's Republic of Bangladesh
BRB,Barbados,Barbados
BLR,Belarus,Republic of Belarus
BEL,Belgium,Kingdom of Belgium
BLZ,Belize,Belize
BEN,Benin,Republic of Benin
BTN,Bhutan,Kingdom of Bhutan
BOL,Bolivia,Plurinational State of Bolivia
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina
BWA,Botswana,Republic of Botswana
BRA,Brazil,Federative Republic of Brazil
BRN,Brunei,"Nation of Brunei, the Abode of Peace"
BGR,Bulgaria,Republic of Bulgaria
BFA,Burkina Faso,Burkina Faso
BDI,Burundi,Republic of Burundi
KHM,Cambodia,Kingdom of Cambodia
CMR,Cameroon,Republic of Cameroon
CAN,Canada,Canada
CPV,Cape Verde,Republic of Cabo Verde
CAF,Central African Republic,Central African Republic
TCD,Chad,Republic of Chad
CHL,Chile,Republic of Chile
CHN,China,People's Republic of China
COL,Colombia,Republic of Colombia
COM,Comoros,Union of the Comoros
COG,Congo,Republic of the Congo
CRI,Costa Rica,Republic of Costa Rica
CIV,Ivory Coast,Republic of Côte d'Ivoire
HRV,Croatia,Republic of Croatia
CUB,Cuba,Republic of Cuba
CYP,Cyprus,Republic of Cyprus
CZE,Czech Republic,Czech Republic
COD,Democratic Republic of Congo,Democratic Republic of the Congo
DNK,Denmark,Kingdom of Denmark
DJI,Djibouti,Republic of Djibouti
DMA,Dominica,Commonwealth of Dominica
DOM,Dominican Republic,Dominican Republic
TLS,East Timor,Democratic Republic of Timor-Leste
ECU,Ecuador,Republic of Ecuador
EGY,Egypt,Arab Republic of Egypt
SLV,El Salvador,Republic of El Salvador
GNQ,Equatorial Guinea,Republic of Equatorial Guinea
ERI,Eritrea,State of Eritrea
EST,Estonia,Republic of Estonia
SWZ,Eswatini,Kingdom of Eswatini
ETH,Ethiopia,Federal Democratic Republic of Ethiopia
FJI,Fiji,Republic of Fiji
FIN,Finland,Republic of Finland
FRA,France,French Republic
GAB,Gabon,Gabonese Republic
GMB,Gambia,Republic of The Gambia
GEO,Georgia,Georgia
DEU,Germany,Federal Republic of Germany
GHA,Ghana,Republic of Ghana
GRC,Greece,Hellenic Republic
GRD,Grenada,Grenada
GTM,Guatemala,Republic of Guatemala
GIN,Guinea,Republic of Guinea
GNB,Guinea-Bissau,Republic of Guinea-Bissau
GUY,Guyana,Co‑operative Republic of Guyana
HTI,Haiti,Republic of Haiti
HND,Honduras,Republic of Honduras
HUN,Hungary,Hungary
ISL,Iceland,Republic of Iceland
IND,India,Republic of India
IDN,Indonesia,Republic of Indonesia
IRN,Iran,Islamic Republic of Iran
IRQ,Iraq,Republic of Iraq
IRL,Ireland,Ireland
ISR,Israel,State of Israel
ITA,Italy,Italian Republic
JAM,Jamaica,Jamaica
JPN,Japan,Nippon
JOR,Jordan,Hashemite Kingdom of Jordan
KAZ,Kazakhstan,Republic of Kazakhstan
KEN,Kenya,Republic of Kenya
KIR,Kiribati,Republic of Kiribati
KWT,Kuwait,State of Kuwait
KGZ,Kyrgyzstan,Kyrgyz Republic
LAO,Laos,Lao People's Democratic Republic
LVA,Latvia,Republic of Latvia
LBN,Lebanon,The Lebanese Republic
LSO,Lesotho,Kingdom of Lesotho
LBR,Liberia,Republic of Liberia
LBY,Libya,State of Libya
LIE,Liechtenstein,Principality of Liechtenstein
LTU,Lithuania,Republic of Lithuania
LUX,Luxembourg,Grand Duchy of Luxembourg
MDG,Madagascar,Republic of Madagascar
MWI,Malawi,Republic of Malawi
MYS,Malaysia,Malaysia
MDV,Maldives,Republic of the Maldives
MLI,Mali,Republic of Mali
MLT,Malta,Republic of Malta
MHL,Marshall Islands,Republic of the Marshall Islands
MRT,Mauritania,Islamic Republic of Mauritania
MUS,Mauritius,Republic of Mauritius
MEX,Mexico,United Mexican States
FSM,Micronesia,Federated States of Micronesia
MDA,Moldova,Republic of Moldova
MCO,Monaco,Principality of Monaco
MNG,Mongolia,Mongolia
MNE,Montenegro,Montenegro
MAR,Morocco,Kingdom of Morocco
MOZ,Mozambique,Republic of Mozambique
MMR,Myanmar,Republic of the Union of Myanmar
NAM,Namibia,Republic of Namibia
NRU,Nauru,Republic of Nauru
NPL,Nepal,Federal Democratic Republic Of Nepal
NLD,Netherlands,Kingdom of the Netherlands
NZL,New Zealand,New Zealand
NIC,Nicaragua,Republic of Nicaragua
NER,Niger,Republic of the Niger
NGA,Nigeria,Federal Republic of Nigeria
PRK,North Korea,Democratic People's Republic of Korea
MKD,North Macedonia,Republic of North Macedonia
NOR,Norway,Kingdom of Norway
OMN,Oman,Sultanate of Oman
PAK,Pakistan,Islamic Republic of Pakistan
PLW,Palau,Republic of Palau
PSE,Palestine,State of Palestine
PAN,Panama,Republic of Panama
PNG,Papua New Guinea,Independent State of Papua New Guinea
PRY,Paraguay,Republic of Paraguay
PER,Peru,Republic of Peru
PHL,Philippines,Republic of the Philippines
POL,Poland,Republic of Poland
PRT,Portugal,Portuguese Republic
PRI,Puerto Rico,Commonwealth of Puerto Rico
QAT,Qatar,State of Qatar
ROU,Romania,Romania
RUS,Russia,Russian Federation
RWA,Rwanda,Rwandese Republic
KNA,Saint Kitts and Nevis,Federation of Saint Christopher and Nevis
LCA,Saint Lucia,Saint Lucia
VCT,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
WSM,Samoa,Independent State of Samoa
SMR,San Marino,Republic of San Marino
STP,São Tomé and Príncipe,Democratic Republic of São Tomé and Príncipe
SAU,Saudi Arabia,Kingdom of Saudi Arabia
SEN,Senegal,Republic of Senegal
SRB,Serbia,Republic of Serbia
SYC,Seychelles,Republic of Seychelles
SLE,Sierra Leone,Republic of Sierra Leone
SGP,Singapore,Republic of Singapore
SVK,Slovakia,Slovak Republic
SVN,Slovenia,Republic of Slovenia
SLB,Solomon Islands,Solomon Islands
SOM,Somalia,Federal Republic of Somalia
ZAF,South Africa,Republic of South Africa
KOR,South Korea,Republic of Korea
SSD,South Sudan,Republic of South Sudan
ESP,Spain,Kingdom of Spain
LKA,Sri Lanka,Democratic Socialist Republic of Sri Lanka
SDN,Sudan,Republic of the Sudan
SUR,Suriname,Republic of Suriname
SWE,Sweden,Kingdom of Sweden
CHE,Switzerland,Swiss Confederation
SYR,Syria,Syrian Arab Republic
TWN,Taiwan,Republic of China
TJK,Tajikistan,Republic of Tajikistan
TZA,Tanzania,United Republic of Tanzania
THA,Thailand,Kingdom of Thailand
BHS,The Bahamas,Commonwealth of The Bahamas
TGO,Togo,Togolese Republic
TON,Tonga,Kingdom of Tonga
TTO,Trinidad and Tobago,Republic of Trinidad and Tobago
TUN,Tunisia,Republic of Tunisia
TUR,Turkey,Republic of Turkey
TKM,Turkmenistan,Turkmenistan
TUV,Tuvalu,Tuvalu
