alpha_3_code,gdp_usd,year
ABW,4265650673,2024
AGO,100998916781,2024
ALB,27046429296,2024
AND,4039842405,2024
ARE,552324846834,2024
ARG,638365455340,2024
ARM,25955275380,2024
ATG,2207622874,2024
AUS,1757022451652,2024
AUT,534790720466,2024
AZE,74315882352,2024
BDI,3082433067,2024
BEL,671370081636,2024
BEN,21482643706,2024
BFA,23124729853,2024
BGD,450119432068,2024
BGR,113343355779,2024
BHR,47109734308,2024
BHS,15832800000,2024
BIH,29613572022,2024
BLR,75961865471,2024
BLZ,3203631800,2024
BMU,9233600000,2024
BOL,54881327452,2024
BRA,2185821648943,2024
BRB,7498050000,2024
BRN,15340808592,2024
BWA,19402063512,2024
CAF,2751494281,2024
CAN,2243636826633,2024
CHE,936564198048,2024
CHL,330267137371,2024
CHN,18743803170827,2024
CIV,87113179149,2024
CMR,53296694320,2024
COD,70962185790,2024
COG,15719986076,2024
COL,418818154879,2024
COM,1440991455,2024
CPV,2725414150,2024
CRI,95350423176,2024
CUW,3561178196,2024
CYP,37634533331,2024
CZE,347034062928,2024
DEU,4685592577804,2024
DJI,4152145939,2024
DMA,688881481,2024
DNK,424524722037,2024
DOM,124282245638,2024
DZA,269322281664,2024
ECU,124676074700,2024
EGY,389059911003,2024
ESP,1725671652742,2024
EST,43130419829,2024
ETH,149740297952,2024
FIN,298696961297,2024
FJI,5968125909,2024
FRA,3160442622465,2024
FRO,4052937169,2024
FSM,471425099,2024
GAB,20895684425,2024
GBR,3686033044482,2024
GEO,34189423544,2024
GHA,82308110386,2024
GIN,25008678293,2024
GMB,2404888749,2024
GNB,2218393804,2024
GNQ,12765777677,2024
GRC,256238371778,2024
GRD,1371918518,2024
GTM,113199581158,2024
GUY,24662709832,2024
HKG,406863396487,2024
HND,37093565854,2024
HRV,92983810328,2024
HTI,25224154990,2024
HUN,222722738925,2024
IDN,1396300098190,2024
IND,3909891533858,2024
IRL,609157459747,2024
IRN,475252089215,2024
IRQ,279641257615,2024
ISL,33255181468,2024
ISR,540379921261,2024
ITA,2380825077243,2024
JAM,22014397089,2024
JOR,53352289577,2024
JPN,4027597523550,2024
KAZ,291480274648,2024
KEN,120339557905,2024
KGZ,17478259659,2024
KHM,46352647037,2024
KIR,307862564,2024
KNA,1122388888,2024
KOR,1875388209406,2024
KWT,160227273053,2024
LAO,16502933121,2024
LBR,4779300900,2024
LBY,48487151215,2024
LCA,2549062962,2024
LKA,98963185509,2024
LSO,2271759454,2024
LTU,84869215513,2024
LUX,93279851863,2024
LVA,43684254432,2024
MAC,49467258923,2024
MAR,160610994054,2024
MCO,11125783372,2024
MDA,18200340853,2024
MDG,17420501490,2024
MDV,7061608267,2024
MEX,1856365616165,2024
MHL,290108489,2024
MKD,16951682245,2024
MLI,26794747239,2024
MLT,24971574502,2024
MMR,74068349523,2024
MNE,8270016670,2024
MNG,23794540024,2024
MOZ,22745341305,2024
MRT,10908045686,2024
MUS,14937861786,2024
MWI,11316411329,2024
MYS,422227005428,2024
NAM,13372354511,2024
NCL,8548919387,2024
NER,19876128485,2024
NGA,252261880141,2024
NIC,19693982967,2024
NLD,1214927698572,2024
NOR,483592648313,2024
NPL,42914268286,2024
NRU,162588620,2024
NZL,260172385097,2024
OMN,107137198769,2024
PAK,371570000121,2024
PAN,86523959131,2024
PER,289221969062,2024
PHL,461617509782,2024
PNG,31800428265,2024
POL,917767106146,2024
PRI,126029527033,2024
PRT,313271185085,2024
PRY,44458118397,2024
PSE,13711100000,2024
PYF,6323716355,2024
QAT,219162637362,2024
ROU,382564217988,2024
RUS,2173835806671,2024
RWA,14251642235,2024
SAU,1239804533333,2024
SDN,49672435513,2024
SEN,32808056600,2024
SGP,547386645891,2024
SLB,1583964703,2024
SLE,6971127235,2024
SLV,35364960000,2024
SOM,11967000000,2024
SRB,90097765959,2024
STP,822154621,2024
SUR,4416775112,2024
SVK,140934076532,2024
SVN,72972015197,2024
SWE,603715224265,2024
SWZ,4858885840,2024
SXM,1797836665,2024
SYC,2167239562,2024
TCA,1745378000,2024
TCD,19518819751,2024
TGO,10651180146,2024
THA,526517658841,2024
TJK,14204575548,2024
TKM,51387209872,2024
TLS,1865608515,2024
TTO,25633544529,2024
TUN,51332285656,2024
TUR,1359123768774,2024
TZA,78844405385,2024
UGA,53911907086,2024
UKR,190741262414,2024
URY,80961511073,2024
USA,28750956130731,2024
UZB,114965293466,2024
VCT,1157207407,2024
VEN,119802963257,2024
VNM,476388230307,2024
VUT,1117972034,2024
WSM,1175749785,2024
ZAF,401144998373,2024
ZMB,25303185342,2024
ZWE,41539411516,2024
