alpha_3_code,population
ABW,107995
AFE,769280888
AFG,42647492
AFW,521764076
AGO,37885849
ALB,2377128
AND,81938
ARB,492612632
ARE,10986400
ARG,45696159
ARM,3033500
ASM,46765
ATG,93772
AUS,27196812
AUT,9177982
AZE,10202830
BDI,14047786
BEL,11858610
BEN,14462724
BFA,23548781
BGD,173562364
BGR,6441421
BHR,1588670
BHS,401283
BIH,3164253
BLR,9132629
BLZ,417072
BMU,64636
BOL,12413315
BRA,211998573
BRB,282467
BRN,462721
BTN,791524
BWA,2521139
CAF,5330690
CAN,41288599
CEB,100061963
CHE,9005582
CHI,168126
CHL,19764771
CHN,1408975000
CIV,31934230
CMR,29123744
COD,109276265
COG,6332961
COL,52886363
COM,866628
CPV,524877
CRI,5129910
CSS,4539060
CUB,10979783
CUW,155967
CYM,74457
CYP,1358282
CZE,10905028
DEU,83516593
DJI,1168722
DMA,66205
DNK,5976992
DOM,11427557
DZA,46814308
EAP,2141122258
EAR,-2147483648
EAS,-2147483648
ECA,250281521
ECS,928263208
ECU,18135478
EGY,116538258
EMU,351161936
ERI,3535603
ESP,48848840
EST,1372341
ETH,132059767
EUU,450228188
FCS,1081767572
FIN,5619911
FJI,928784
FRA,68551653
FRO,54681
FSM,113160
GAB,2538952
GBR,69226000
GEO,3699557
GHA,34427414
GIB,39329
GIN,14754785
GMB,2759988
GNB,2201352
GNQ,1892516
GRC,10405134
GRD,117207
GRL,56836
GTM,18406359
GUM,167777
GUY,831087
HIC,1417841927
HKG,7524100
HND,10825703
HPC,941413026
HRV,3866200
HTI,11772557
HUN,9562065
IBD,-2147483648
IBT,-2147483648
IDA,1946800545
IDB,676957651
IDN,283487931
IDX,1269842894
IMN,84160
IND,1450935791
IRL,5395790
IRN,91567738
IRQ,46042015
ISL,386506
ISR,9974400
ITA,58952704
JAM,2839175
JOR,11552876
JPN,123975371
KAZ,20592571
KEN,56432944
KGZ,7221868
KHM,17638801
KIR,134518
KNA,46843
KOR,51751065
KWT,4897263
LAC,594158638
LAO,7769819
LBN,5805962
LBR,5612817
LBY,7381023
LCA,179744
LCN,662186388
LDC,1187777591
LIC,624608098
LIE,40450
LKA,21916000
LMC,-2147483648
LMY,-2147483648
LSO,2337423
LTE,-2147483648
LTU,2888278
LUX,677012
LVA,1866124
MAC,687000
MAF,26129
MAR,38081173
MCO,38631
MDA,2402306
MDG,31964956
MDV,527799
MEA,813146136
MEX,130861007
MHL,37548
MIC,-2147483648
MKD,1824359
MLI,24478595
MLT,568847
MMR,54500091
MNA,741690916
MNE,623525
MNG,3524788
MNP,44278
MOZ,34631766
MRT,5169395
MUS,1245779
MWI,21655286
MYS,35557673
NAC,381464223
NAM,3030131
NCL,292639
NER,27032412
NGA,232679478
NIC,6916140
NLD,17993485
NOR,5572279
NPL,29651054
NRU,11947
NZL,5287500
OED,1396877448
OMN,5281538
OSS,12931878
PAK,251269164
PAN,4515577
PER,34217848
PHL,115843670
PLW,17695
PNG,10576502
POL,36559233
PRE,1105951788
PRI,3203295
PRK,26498823
PRT,10694681
PRY,6929153
PSE,5289152
PSS,2722467
PST,1128377826
PYF,281807
QAT,2857822
ROU,19051804
RUS,143533851
RWA,14256567
SAS,1677384532
SAU,35300280
SDN,50448963
SEN,18501984
SGP,6036860
SLB,819198
SLE,8642022
SLV,6338193
SMR,33977
SOM,19009151
SRB,6586476
SSA,1158863843
SSD,11943408
SSF,1291044964
SST,20193405
STP,235536
SUR,634431
SVK,5422069
SVN,2127400
SWE,10569709
SWZ,1242822
SXM,43350
SYC,121354
SYR,24672760
TCA,46535
TCD,20299123
TEA,2114653077
TEC,459734030
TGO,9515236
THA,71668011
TJK,10590927
TKM,7494498
TLA,647003746
TLS,1400638
TMN,736401764
TON,104175
TSA,1677384532
TSS,1291044964
TTO,1368333
TUN,12277109
TUR,85518661
TUV,9646
TZA,68560157
UGA,50015092
UKR,37860221
UMC,-2147483648
URY,3386588
USA,340110988
UZB,36361859
VCT,100616
VEN,28405543
VGB,39471
VIR,104377
VNM,100987686
VUT,327777
WLD,-2147483648
WSM,218019
XKX,1594353
YEM,40583164
ZAF,64007187
ZMB,21314956
ZWE,16634373
